item,name,location,country,countryLabel
http://www.wikidata.org/entity/Q568692,Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart,Point(9.185833 48.778611),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q154561,Friedrich-Schiller-Universität Jena,Point(11.582222222 50.928333333),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q387543,Евразийский лингвистический институт,Point(104.278611 52.288611),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q387543,"Институт филологии, иностранных языков и медиакоммуникации",Point(104.278611 52.288611),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q387543,Иркутский государственный лингвистический университет,Point(104.278611 52.288611),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q387543,Иркутский государственный педагогический институт иностранных языков,Point(104.278611 52.288611),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q1520608,Kıbrıs Universitesi,Point(33.3778 35.1597),http://www.wikidata.org/entity/Q229,Cyprus
http://www.wikidata.org/entity/Q1678733,University of the Free State,Point(26.1752 -29.1044),http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q7894364,Universidade Estadual de Londrina,Point(-51.2 -23.3253),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q2749558,Universidade Estadual do Ceará,Point(-38.5411983 -3.7418917),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q308963,Universidad de Salamanca,Point(-5.666666666 40.961388888),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q1048626,Te Whare Wānaka o Aotearoa,Point(172.468611111 -43.644444444),http://www.wikidata.org/entity/Q664,New Zealand
http://www.wikidata.org/entity/Q1467445,Новосибирский электротехнический институт,Point(82.906 54.988),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q284777,Western Washington University,Point(-122.486 48.734),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q36188,Université de Fribourg,Point(7.151738888 46.80625),http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q154804,Universität Leipzig – Alma Mater Lipsiensis,Point(12.378727777 51.3387),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q39954,평양의학대학,Point(125.742962412 39.01018856),http://www.wikidata.org/entity/Q423,North Korea
http://www.wikidata.org/entity/Q2096836,The University of Zambia,Point(28.332222222 -15.394722222),http://www.wikidata.org/entity/Q953,Zambia
http://www.wikidata.org/entity/Q1048626,Lincoln University,Point(172.468611111 -43.644444444),http://www.wikidata.org/entity/Q664,New Zealand
http://www.wikidata.org/entity/Q1467445,Новосибірський електротехнічний інститут,Point(82.906 54.988),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q138182,北京电影学院,Point(116.3532808 39.9717416),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q132140,Universidade Federal de Minas Gerais,Point(-43.9663841 -19.8690878),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q1473677,Universidade de Santiago de Compostela,Point(-8.5449726 42.8885225),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q3551737,Université des sciences et techniques de Masuku,Point(13.5523 -1.63039),http://www.wikidata.org/entity/Q1000,Gabon
http://www.wikidata.org/entity/Q876520,Hochschule für Bodencultur,Point(16.337222222 48.236666666),http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q15574,The University of Adelaide,Point(138.605361111 -34.920666666),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q204181,Tartu Ülikool,Point(26.720277777 58.381111111),http://www.wikidata.org/entity/Q191,Estonia
http://www.wikidata.org/entity/Q2986673,Гродзенскі дзяржаўны ўніверсітэт імя Янкі Купалы,Point(23.8401808 53.6847993),http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q2986673,Гродзенскі настаўніцкі інстытут,Point(23.8401808 53.6847993),http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q2986673,Гродзенскі педагагічны інстытут,Point(23.8401808 53.6847993),http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q2986673,Гродзенскі педагагічны інстытут імя Янкі Купалы,Point(23.8401808 53.6847993),http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q1284960,Edith Cowan University,Point(115.7728 -31.7525),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q876520,Universität der Nachhaltigkeit und des Lebens,Point(16.337222222 48.236666666),http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q876520,Universität für Bodenkultur Wien,Point(16.337222222 48.236666666),http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q492766,Нижегородский государственный университет,Point(43.981256 56.298633),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q1145306,কলিকাতা বিশ্ববিদ্যালয়,Point(88.3628 22.575),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q401034,Ahmadu Bello University,Point(7.65 11.15),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1076729,Đại học Quốc gia Hà Nội,Point(105.7968 20.99177),http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q37008,ივანე ჯავახიშვილის სახელობის თბილისის სახელმწიფო უნივერსიტეტი,Point(44.778333333 41.71),http://www.wikidata.org/entity/Q230,Georgia
http://www.wikidata.org/entity/Q1627967,Liverpool John Moores University,Point(-2.97 53.403),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1284960,Edith Cowan University,Point(115.867929819 -31.919614846),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q219563,University of Washington,Point(-122.308055555 47.654166666),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q1517021,University of Western Australia,Point(115.818611111 -31.980277777),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q1973888,Západočeská univerzita v Plzni,Point(13.353611111 49.718611111),http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q1243904,Universidad de Alcalá,Point(-3.363215 40.482898),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q1466108,Ekonomická univerzita v Bratislave,Point(17.1310268 48.1257816),http://www.wikidata.org/entity/Q214,Slovakia
http://www.wikidata.org/entity/Q2067315,Università degli Studi di Cagliari,Point(9.115 39.216944444),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q1229996,Universidad de Sevilla,Point(-5.9912307 37.3807579),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q55021,Hochschule für Musik Köln,Point(6.961217 50.947643),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q55021,Hochschule für Musik und Tanz Köln,Point(6.961217 50.947643),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q13140628,Delta State University Abraka,Point(3.38611 6.51667),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q2120272,云南师范大学,Point(102.69757 25.05577),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q1520608,Πανεπιστήμιο Κύπρου,Point(33.3778 35.1597),http://www.wikidata.org/entity/Q229,Cyprus
http://www.wikidata.org/entity/Q1284960,Edith Cowan University,Point(115.792194444 -31.925111111),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q319761,Aberystwyth University,Point(-4.06576 52.41806),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1145306,University of Calcutta,Point(88.3628 22.575),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q414221,Akademie múzických umění v Praze,Point(14.401944444 50.0875),http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q1284960,Edith Cowan University,Point(115.812641666 -31.976475),http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q2026214,Мазырскі дзяржаўны педагагічны ўніверсітэт,Point(29.25956 52.05062),http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q2026214,Мазырскі настаўніцкі інстытут,Point(29.25956 52.05062),http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q2026214,Мазырскі педагагічны інстытут,Point(29.25956 52.05062),http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q2026214,Мазырскі педагагічны інстытут  імя Н. К. Крупскай,Point(29.25956 52.05062),http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q675848,Sveučilište u Zagrebu,Point(15.970097222 45.810672222),http://www.wikidata.org/entity/Q224,Croatia
http://www.wikidata.org/entity/Q678982,Gottfried Wilhelm Leibniz Universität,Point(9.717777777 52.382222222),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q319761,"University College of Wales, Aberystwyth",Point(-4.06576 52.41806),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q319761,"University of Wales, Aberystwyth",Point(-4.06576 52.41806),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1378,Univerza v Mariboru,Point(15.644444444 46.559444444),http://www.wikidata.org/entity/Q215,Slovenia
http://www.wikidata.org/entity/Q7894364,Universidade Estadual de Londrina,Point(-51.2017671 -23.3241256),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q4304088,Усесаюзны завочны політэхнічны інстытут,Point(37.663667 55.819556),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q4304088,Маскоўскі дзяржаўны адкрыты ўніверсітэт,Point(37.663667 55.819556),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q658975,Université de Lausanne,Point(6.579444444 46.5225),http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q678965,Technische Universität Kaiserslautern,Point(7.75306 49.4239),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q762266,City University of New York,Point(-73.9735038 40.750954355),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q675848,Universitas Studiorum Zagrabiensis,Point(15.970097222 45.810672222),http://www.wikidata.org/entity/Q224,Croatia
http://www.wikidata.org/entity/Q7896780,University of the Virgin Islands,Point(-64.9728 18.3434),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q4304088,Всесоюзный заочный политехнический институт,Point(37.663667 55.819556),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q1678733,Yunivesithi ya Freistata,Point(26.1752 -29.1044),http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q1707779,جَامِعَة الْبَحْرَيْن,Point(50.5084 26.0522),http://www.wikidata.org/entity/Q398,Bahrain
http://www.wikidata.org/entity/Q1467445,Новосибирский электротехнический институт,Point(82.904 54.988),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q5103051,University of Port Harcourt,Point(6.917077399 4.907171013),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q5103051,University of PortHarcourt,Point(6.917077399 4.907171013),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q658975,Schola Lausannensis,Point(6.579444444 46.5225),http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q1467445,Новосибирский электротехнический институт,Point(82.9063 54.988),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q1434547,Loughborough University,Point(-1.228611111 52.768333333),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q7809596,جامعة اللاذقية,Point(35.807778 35.523333),http://www.wikidata.org/entity/Q858,Syria
http://www.wikidata.org/entity/Q7809596,جامعة تشرين,Point(35.807778 35.523333),http://www.wikidata.org/entity/Q858,Syria
http://www.wikidata.org/entity/Q763586,Masarykova univerzita,Point(16.605277777 49.198611111),http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q319761,"University College Wales, Aberystwyth",Point(-4.06576 52.41806),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q763586,Universita Jana Evangelisty Purkyně,Point(16.605277777 49.198611111),http://www.wikidata.org/entity/Q213,Czech Republic
http://www.wikidata.org/entity/Q941806,Universidad de Castilla-La Mancha,Point(-3.920611111 38.994111111),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q845177,公立大学法人高崎経済大学,Point(138.977555 36.345316),http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q3511498,Bayero University,Point(8.47944444 11.98055556),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q2559074,Azərbaycan Dövlət Tibb İnstitutu,Point(49.832777 40.395589),http://www.wikidata.org/entity/Q227,Azerbaijan
